,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,PTS_FHALF,PTS_SHALF,REG_PTS
105,2018-10-24T00:00:00,2,0021800053,1610612739,CLE,Cleveland,0-4,17,28,17,24,0,0,0,0,0,0,0,0,0,0,86,0.382,0.938,0.16699999999999998,18,53,15,45,41,86
106,2018-10-24T00:00:00,3,0021800054,1610612752,NYK,New York,1-4,27,18,20,22,0,0,0,0,0,0,0,0,0,0,87,0.363,0.643,0.364,20,45,12,45,42,87
107,2018-10-24T00:00:00,3,0021800054,1610612748,MIA,Miami,2-2,16,31,45,18,0,0,0,0,0,0,0,0,0,0,110,0.47600000000000003,0.679,0.44799999999999995,24,51,13,47,63,110
108,2018-10-24T00:00:00,4,0021800055,1610612750,MIN,Minnesota,2-3,19,29,26,31,0,0,0,0,0,0,0,0,0,0,105,0.41700000000000004,0.625,0.5,25,44,15,48,57,105
109,2018-10-24T00:00:00,4,0021800055,1610612761,TOR,Toronto,5-0,26,31,26,29,0,0,0,0,0,0,0,0,0,0,112,0.517,0.75,0.344,26,44,16,57,55,112
110,2018-10-24T00:00:00,5,0021800056,1610612766,CHA,Charlotte,2-3,27,26,29,28,0,0,0,0,0,0,0,0,0,0,110,0.435,0.897,0.28600000000000003,23,36,6,53,57,110
111,2018-10-24T00:00:00,5,0021800056,1610612741,CHI,Chicago,1-3,24,30,34,24,0,0,0,0,0,0,0,0,0,0,112,0.48100000000000004,0.8,0.345,21,45,14,54,58,112
112,2018-10-24T00:00:00,6,0021800057,1610612762,UTA,Utah,2-2,24,28,23,25,0,0,0,0,0,0,0,0,0,0,100,0.436,0.7859999999999999,0.345,21,47,18,52,48,100
113,2018-10-24T00:00:00,6,0021800057,1610612745,HOU,Houston,1-3,29,15,22,23,0,0,0,0,0,0,0,0,0,0,89,0.402,0.5710000000000001,0.275,16,35,15,44,45,89
114,2018-10-24T00:00:00,7,0021800058,1610612754,IND,Indiana,3-2,28,34,26,28,0,0,0,0,0,0,0,0,0,0,116,0.529,0.875,0.531,34,40,10,62,54,116
115,2018-10-24T00:00:00,7,0021800058,1610612759,SAS,San Antonio,2-2,22,28,21,25,0,0,0,0,0,0,0,0,0,0,96,0.402,0.9520000000000001,0.316,16,46,13,50,46,96
116,2018-10-24T00:00:00,8,0021800059,1610612755,PHI,Philadelphia,2-3,34,30,17,27,0,0,0,0,0,0,0,0,0,0,108,0.413,0.7,0.324,29,50,16,64,44,108
117,2018-10-24T00:00:00,8,0021800059,1610612749,MIL,Milwaukee,4-0,22,49,21,31,0,0,0,0,0,0,0,0,0,0,123,0.41,0.9329999999999999,0.302,24,51,11,71,52,123
118,2018-10-24T00:00:00,9,0021800060,1610612747,LAL,Los Angeles,1-3,32,44,30,25,0,0,0,0,0,0,0,0,0,0,131,0.52,0.7390000000000001,0.35700000000000004,34,43,8,76,55,131
119,2018-10-24T00:00:00,9,0021800060,1610612756,PHX,Phoenix,1-3,30,24,32,27,0,0,0,0,0,0,0,0,0,0,113,0.524,0.7140000000000001,0.32299999999999995,27,44,19,54,59,113
120,2018-10-24T00:00:00,10,0021800061,1610612763,MEM,Memphis,2-2,28,24,19,21,0,0,0,0,0,0,0,0,0,0,92,0.38299999999999995,0.769,0.27,18,49,15,52,40,92
121,2018-10-24T00:00:00,10,0021800061,1610612758,SAC,Sacramento,2-3,19,25,27,26,0,0,0,0,0,0,0,0,0,0,97,0.42200000000000004,0.636,0.33299999999999996,19,57,14,44,53,97
122,2018-10-24T00:00:00,11,0021800062,1610612764,WAS,Washington,1-3,37,34,26,25,0,0,0,0,0,0,0,0,0,0,122,0.452,0.929,0.28600000000000003,22,34,12,71,51,122
123,2018-10-24T00:00:00,11,0021800062,1610612744,GSW,Golden State,4-1,46,34,35,29,0,0,0,0,0,0,0,0,0,0,144,0.5760000000000001,0.92,0.455,37,48,15,80,64,144
124,2018-10-25T00:00:00,1,0021800063,1610612739,CLE,Cleveland,0-5,27,23,18,35,0,0,0,0,0,0,0,0,0,0,103,0.461,0.867,0.33299999999999996,18,30,9,50,53,103
125,2018-10-25T00:00:00,1,0021800063,1610612765,DET,Detroit,4-0,30,28,22,30,0,0,0,0,0,0,0,0,0,0,110,0.526,0.586,0.39299999999999996,21,48,20,58,52,110
126,2018-10-25T00:00:00,2,0021800064,1610612757,POR,Portland,3-1,33,25,33,37,0,0,0,0,0,0,0,0,0,0,128,0.552,0.8079999999999999,0.40700000000000003,24,44,10,58,70,128
127,2018-10-25T00:00:00,2,0021800064,1610612753,ORL,Orlando,2-3,22,26,36,30,0,0,0,0,0,0,0,0,0,0,114,0.5,0.8,0.4,29,40,14,48,66,114
128,2018-10-25T00:00:00,3,0021800065,1610612738,BOS,Boston,3-2,16,18,40,27,0,0,0,0,0,0,0,0,0,0,101,0.384,0.727,0.344,19,45,11,34,67,101
